2022-05-23T01:49:11.708Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='02360524-36ad-4589-9bce-46bacfe48d30', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270671708, refreshable=false
2022-05-23T01:50:11.685Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='f8759360-5d7d-4d82-b8dc-6f6b94d1019c', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270731684, refreshable=false
2022-05-23T01:50:11.706Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='7cc6633b-8743-4465-8995-7fdaa54c7812', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270731706, refreshable=false
2022-05-23T01:51:11.684Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='d6860394-698d-4260-a071-73b360bc6fb9', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270791683, refreshable=false
2022-05-23T01:51:11.710Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='a8c7ffae-afd7-41b0-806c-21b367abcefb', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270791710, refreshable=false
2022-05-23T01:52:11.682Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='878b2072-1ec8-4853-865a-014a8d810b17', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270851682, refreshable=false
2022-05-23T01:52:11.697Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='e1157b8f-64e5-4653-940c-38a077907c97', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270851697, refreshable=false
2022-05-23T01:52:26.137Z [AUDIT] Token created by 'jffe@000': tokenId='63adf991-af54-4000-8552-a3939cd60382', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653271346137, refreshable=false
2022-05-23T01:52:26.137Z [AUDIT] Token created by 'jffe@000': tokenId='d55add40-5e00-4124-b68d-678d5fc6c32b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653271346137, refreshable=false
2022-05-23T01:52:26.138Z [AUDIT] Token created by 'jffe@000': tokenId='44692e1b-f60d-4313-a83a-c3d3f612b2fe', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653271346138, refreshable=false
2022-05-23T01:52:26.138Z [AUDIT] Token created by 'jffe@000': tokenId='38586958-2333-4d86-8f52-67ce040ae850', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653271346138, refreshable=false
2022-05-23T01:52:26.138Z [AUDIT] Token created by 'jffe@000': tokenId='9daf84f5-f2ac-433a-a749-429f6a521f19', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1653271346138, refreshable=false
2022-05-23T01:53:11.684Z [AUDIT] Token created by 'jfob@01fwm1x2pksj9n184sda2g0rfq': tokenId='6e58a4ec-39a9-4d00-89d4-56e8cca4bba1', issuer='jfob@01fwm1x2pksj9n184sda2g0rfq', subject='jfob@01fwm1x2pksj9n184sda2g0rfq', expiry=1653270911684, refreshable=false
